type	No.	지역	점포명	주소	연락처
everyday	1	서울	가락동	서울특별시 송파구 중대로9길 35 (가락동)	02-848-3651
everyday	2	서울	가양동	서울특별시 강서구 허준로 121  (가양동)	02-2659-8376, 7
everyday	3	서울	개봉동	서울특별시 구로구 개봉로17길 30-8 (개봉동)	02-2684-2013, 4
everyday	4	서울	개포동	서울특별시 강남구 개포로 623 (개포동)	02-3413-5800~1
everyday	5	서울	공릉동	서울특별시 노원구 노원로1길 67  (공릉동)	02-948-6767
everyday	6	서울	광운대역	서울특별시 노원구 월계동 383-21(월계동)	02-919-9242
everyday	7	서울	광장	서울특별시 광진구 아차산로 599 (광장동)	02-452-3735
everyday	8	서울	구로	서울특별시 구로구 구일로 8길 85(구로동)	02-859-7942
everyday	9	서울	남부터미널	서울특별시 서초구 효령로68길 74  (서초동)	02-3473-2092,3
everyday	10	서울	내곡	서울특별시 서초구 신원동 205-1 내곡드림시티 상가 1층(신원동)	02-2135-8006
everyday	11	서울	답십리	서울특별시 동대문구 고미술로 49  (답십리동)	02-2246-7292
everyday	12	서울	대방동	서울특별시 동작구 상도로 81  (대방동)	02-841-3651
everyday	13	서울	도봉	서울특별시 도봉구 도봉로180길 31  (도봉동)	02-955-7313(7325)
everyday	14	서울	면목동	서울특별시 중랑구 면목로39길 11  (면목동)	02-432-3100
everyday	15	서울	명일동	서울특별시 강동구 고덕로 210  (명일동)	02-3426-6155, 1142
everyday	16	서울	목동	서울특별시 양천구 목동서로 130 (목동)	02-2646-4331, 2
everyday	17	서울	목동중앙	서울특별시 양천구 목동908-34 부영 그린타운 3차 1층	02-2062-8683,4
everyday	18	서울	무지개	서울특별시 서초구 효령로 401 (서초동)	02-3473-2140
everyday	19	서울	미아동	서울특별시 강북구 도봉로 157  (미아동)	02-3281-3651
everyday	20	서울	방배효령	서울특별시 서초구 서초동 1491-7 (서초동)	02-6959-0117
everyday	21	서울	번동	서울특별시 강북구 오현로32길 18  (번동)	02-985-9500
everyday	22	서울	봉천동	서울특별시 관악구 은천로 51  (봉천동)	02-3285-3651
everyday	23	서울	사당동	서울특별시 동작구 동작대로29길 110  (사당동, 신동아아파트)	02-596-9584, 5
everyday	24	서울	삼성동	서울특별시 강남구 봉은사로 502  (삼성동)	02-2293-3651
everyday	25	서울	상계	서울특별시 노원구 동일로 1608 (상계동)	02-951-5930
everyday	26	서울	상도동	서울특별시 동작구 상도로31길 19  (상도동, 브라운스톤상도아파트)	02-823-3651
everyday	27	서울	서초동	서울특별시 서초구 서운로 216  (서초동)	02-534-3651
everyday	28	서울	성북동	서울특별시 성북구 성북로 122  (성북동)	02-3672-0226, 7
everyday	29	서울	세곡	강남구 헌릉로 569번길 강남리더스프라자 1층(세곡동)	02)2226-1245
everyday	30	서울	신내	서울특별시 중랑구 신내동 255-1 (신내동)	02-6959-0106
everyday	31	서울	쌍문동	서울특별시 도봉구 삼양로 610  (쌍문동)	02-874-3651
everyday	32	서울	암사동	서울특별시 강동구 고덕로 99  (암사동)	02-2296-3651
everyday	33	서울	양재	서울특별시 서초구 동산로2길 11  (양재동)	02-2058-1016
everyday	34	서울	올림픽	서울특별시 송파구 양재대로 1222  (방이동)	02-408-1500
everyday	35	서울	우면	서울특별시 서초구 태봉로 60, 1층 (우면동728, 황금빌딩)	02-577-0100
everyday	36	서울	중계동	서울특별시 노원구 중계로12길 39 (이연아마빌레 1층)	02-951-1641~2
everyday	37	서울	중곡동	서울특별시 광진구 긴고랑로11길 11  (중곡동)	02-463-1903
everyday	38	서울	창동	서울특별시 도봉구 도봉로104길 53 (창동)	02-903-0900
everyday	39	서울	화곡동	서울특별시 강서구 화곡로 274  (화곡동)	02-2281-3651
everyday	40	서울	흑석동	서울특별시 동작구 서달로 158  (흑석동)	02-814-9320
