type	No	지역	점포명	주소	연락처
starb	1	서울	남산스테이트	서울특별시 중구 퇴계로 100 (회현동2가)	-
starb	3	서울	명동역	서울특별시 중구 퇴계로 101, 건물전체 (충무로1가)	-
starb	5	서울	서울중앙우체국	서울특별시 중구 소공로 70 (충무로1가) 서울중앙우체국	-
starb	7	서울	회현역	서울특별시 중구 퇴계로 72 (회현동) 리더스뷰남산	-
starb	9	서울	명동길	서울특별시 중구 명동10길 41 (충무로2가)	-
starb	11	서울	명동눈스퀘어	서울특별시 중구 명동길 14, 눈스퀘어 4층 (명동2가)	-
starb	13	서울	명동입구	서울특별시 중구 남대문로 68-1 (명동2가)	-
starb	15	서울	소공로	서울특별시 중구 남대문로7길 19, 삼영빌딩 1층 일부 (소공동)	-
starb	17	서울	명동중앙로	서울특별시 중구 명동길 60 (명동2가)	-
starb	19	서울	명동미래	서울특별시 중구 명동7길 8, 2층 (명동1가)	-
starb	21	서울	소공로북창	서울특별시 중구 세종대로18길 32 (소공동) 삼원빌딩	-
starb	23	서울	명동메트로	서울특별시 중구 명동9가길 14 (을지로2가) 메트로호텔	-
starb	25	서울	태평로	서울특별시 중구 세종대로 72, 대영빌딩 1층 (태평로2가)	-
starb	27	서울	소공동	서울특별시 중구 소공로 112 (소공동)	-
starb	29	서울	을지로입구역	서울특별시 중구 을지로 50, 1층 (을지로2가)	-
starb	31	서울	남산단암	서울특별시 중구 소월로 10, 단암빌딩 (남대문로5가)	-
starb	33	서울	SKT	Tower 서울특별시 중구 을지로 65, SK텔레콤빌딩 1층 로비 (을지로2가)	-
starb	35	서울	시청플러스	서울특별시 중구 을지로 19, 삼성화재삼성빌딩 1층 (을지로1가)	-
starb	37	서울	시청	서울특별시 중구 을지로 19, 삼성화재삼성빌딩 1층 (을지로1가)	-
starb	39	서울	중구저동	서울특별시 중구 수표로 34 (저동2가)	-
starb	41	서울	을지로센터	서울특별시 중구 을지로5길 16 삼화타워1층	-
starb	43	서울	서소문	서울특별시 중구 서소문로 130 (서소문동)	-
starb	45	서울	을지로입구	서울특별시 중구 남대문로10길 9 (삼각동) 경기빌딩	-
starb	47	서울	서소문로	서울특별시 중구 서소문로 120 (서소문동) 대한빌딩	-
starb	49	서울	숭례문	서울특별시 중구 세종대로 17, YTN빌딩 1층 (남대문로5가)	-
starb	51	서울	퍼시픽타워	서울특별시 중구 세종대로9길 41, 퍼시픽타워 1층 (서소문동)	-
starb	53	서울	충무로역	서울특별시 중구 퇴계로 197, 충무빌딩 1층 (필동2가)	-
starb	55	서울	무교동	서울특별시 중구 무교로 21 (무교동) 코오롱빌딩 1층	-
starb	57	서울	순화동더샵	서울특별시 중구 칠패로 27, 1층 (순화동)	-
starb	59	서울	광교	서울특별시 종로구 청계천로 59 (관철동)	-
starb	61	서울	서소문배재	서울특별시 중구 서소문로 99 (서소문동)	-
starb	63	서울	종로관철	서울특별시 종로구 종로12길 21, 2층 (관철동)	-
starb	65	서울	대한극장	서울특별시 중구 퇴계로 212 (필동2가)	-
starb	67	서울	영풍문고	서울특별시 종로구 청계천로 41 (서린동) 영풍빌딩	-
starb	69	서울	종각	서울특별시 종로구 종로 64 (종로2가)	-
starb	71	서울	새종로	서울특별시 종로구 삼일대로19길 20 (관철동)	-
starb	73	서울	종로관수	서울특별시 종로구 삼일대로20길 13 (관수동)	-
starb	75	서울	종로2가	서울특별시 종로구 삼일대로 403-1 (인사동)	-
starb	77	서울	서울역동자동	서울특별시 용산구 한강대로 372 (동자동)	-
starb	79	서울	종로수송	서울특별시 종로구 종로5길 30 (청진동) 1~3층	-
starb	81	서울	순화동에이스	서울특별시 중구 통일로 92 (순화동) 에이스타워빌딩	-
starb	83	서울	새문안로	서울특별시 종로구 새문안로 92 (신문로1가) 광화문오피시아빌딩	-
starb	85	서울	종로3가	서울특별시 종로구 종로 113-1, 1-4층 (종로3가)	-
starb	87	서울	서울극장	서울특별시 종로구 돈화문로 13 (관수동) 서울극장	-
starb	89	서울	광화문역	서울특별시 종로구 종로3길 17 (청진동) D타워	-
starb	91	서울	광화문	서울특별시 종로구 세종대로 167, 현대해상본사사옥 별관내 (세종로)	-
starb	93	서울	인사	서울특별시 종로구 인사동길 14 (인사동)	-
starb	95	서울	문화일보	서울특별시 중구 새문안로 22 (충정로1가) 문화일보	-
starb	97	서울	이마빌딩	서울특별시 종로구 종로1길 42 (수송동)	-
starb	99	서울	충정타워	서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)	-
starb	101	서울	경기대	서울특별시 서대문구 충정로 53 (충정로2가)	-
