type	NO	지역	점포명	주소	연락처
withme	1	서울	행복드림점	서울특별시 도봉구 도봉로 879	-
withme	2	서울	신월으뜸점	서울특별시 양천구 신월로15길 26	-
withme	3	서울	미아햇빛점	서울특별시 강북구 도봉로10길 65 1F	-
withme	4	서울	불광역점	서울특별시 은평구 통일로65길 11	-
withme	5	서울	상도마을점	서울특별시 동작구 상도로15마길 10 1F 101호	-
withme	6	서울	장안메트로점	서울특별시 동대문구 장한로5길 75	-
withme	7	서울	종로마루점	서울특별시 종로구 난계로27길 44-7	-
withme	8	서울	홍제문화점	서울특별시 서대문구 문화촌길 6-25	-
withme	9	서울	송파거여점	서울특별시 송파구 성내천로18길 1	-
withme	10	서울	성북정릉점	서울특별시 성북구 솔샘로6길 46 1F 1호	-
withme	11	서울	보문점	서울특별시 성북구 인촌로2길 37 보문남광하우스토리 1F 110호	-
withme	12	서울	방배경찰서점	서울특별시 서초구 방배천로 62	-
withme	13	서울	홍은프라임점	서울특별시 서대문구 통일로 530 홍은동아더프라임 지하 2층 209호	-
withme	14	서울	성수뚝도점	서울특별시 성동구 성덕정11길 20-1	-
withme	15	서울	이마트월계점	서울특별시 노원구 마들로3길 15	-
withme	16	서울	면목샘터점	서울특별시 중랑구 면목로21길 9	-
withme	17	서울	광진중곡점	서울특별시 광진구 긴고랑로 25	-
withme	18	서울	신수크리스마스점	서울특별시 마포구 독막로28길 7	-
withme	19	서울	서초양재점	서울특별시 서초구 바우뫼로 183 1F 105호	-
withme	20	서울	마포일진타워점	서울특별시 마포구 마포대로 45	-
withme	21	서울	인헌점	서울특별시 관악구 인헌16길 13	-
withme	22	서울	까치고개점	서울특별시 관악구 남부순환로 1964	-
withme	23	서울	대치타운점	서울특별시 강남구 삼성로85길 34	-
withme	24	서울	도산대로점	서울특별시 강남구 도산대로 309	-
withme	25	서울	광진군자점	서울특별시 광진구 광나루로 355	-
withme	26	서울	연대서문점	서울특별시 서대문구 연희로10길 75	-
withme	27	서울	이태원써니점	서울특별시 용산구 보광로 117	-
withme	28	서울	반포가온점	서울특별시 서초구 사평대로55길 65-11	-
withme	29	서울	가리봉점	서울특별시 구로구 디지털로 230	-
withme	30	서울	서일대점	서울특별시 중랑구 용마산로90길 19	-
withme	31	서울	면목중랑점	서울특별시 중랑구 봉우재로 24	-
withme	32	서울	당산휴브리지점	서울특별시 영등포구 버드나루로 116	-
withme	33	서울	방학동방점	서울특별시 도봉구 방학로2길 82	-
withme	34	서울	성북삼선점	서울특별시 성북구 동소문로10길 25	-
withme	35	서울	숭실대역점	서울특별시 동작구 상도로62길 10	-
withme	36	서울	강서우장산점	서울특별시 강서구 우장산로 104	-
withme	37	서울	신림동양점	서울특별시 관악구 남부순환로181길 46	-
withme	38	서울	창동역점	서울특별시 도봉구 노해로63길 67	-
withme	39	서울	청주수곡점	서울특별시 도봉구 노해로63길 67	-
withme	40	서울	도림금빛점	서울특별시 영등포구 도림로113길 17	-
withme	41	서울	자양대동점	서울특별시 광진구 뚝섬로31길 15	-
withme	42	서울	서소문점	서울특별시 서대문구 충정로6길 59	-
withme	43	서울	신림우정점	서울특별시 관악구 신림동 492-20	-
withme	44	서울	이화사거리점	서울특별시 종로구 대학로 60	-
withme	45	서울	이태원역점	서울특별시 용산구 이태원로 161	-
withme	46	서울	에쓰오일본사점	서울특별시 마포구 백범로 192	-
withme	47	서울	상명대기숙사점	서울특별시 종로구 평창문화로 151	-
withme	48	서울	구로디지털1점	서울특별시 구로구 디지털로32다길 14	-
